City,Address,Category,BuildingType,NewAlterationAddition,Valuation,PermitHolder,Issuance,County
Cedar Rapids,200 3RD AVE SW,Commercial,Commercial,Alteration,300000,Village Lofts,6-Jan-16,Linn
Cedar Rapids,2005 SHADY GROVE RD SW,Residential,Single Family,New,87294,,28-Mar-16,Linn
Cedar Rapids,201 1ST ST SE,Commercial,Commercial,New,25278438,CRST CENTER,1-Apr-16,Linn
Cedar Rapids,201 1ST ST SE,Commercial,Commercial,Alteration,2787778,CRST - 4TH & 5TH FLOOR REMODEL,10-Mar-16,Linn
Cedar Rapids,201 1ST ST SE,Commercial,Commercial,Alteration,2322974,"CRST - 1ST, 10TH, 11TH FLOOR REMODEL",14-Mar-16,Linn
Cedar Rapids,201 1ST ST SE,Commercial,Commercial,Alteration,2288480,RSM,8-Feb-16,Linn
Cedar Rapids,201 1ST ST SE,Commercial,Commercial,Alteration,1902980,RSM,26-Apr-16,Linn
Cedar Rapids,201 1ST ST SE,Commercial,Commercial,Alteration,800000,CRST - 4TH & 5TH FLOOR REMODEL,10-Mar-16,Linn
Cedar Rapids,201 1ST ST SE,Commercial,Commercial,Alteration,530000,"CRST - 1ST, 10TH, 11TH FLOOR REMODEL",20-May-16,Linn
Cedar Rapids,201 1ST ST SE,Commercial,Commercial,Alteration,794159,HOLMES MURPHY INSURANCE,7-Jun-16,Linn
Cedar Rapids,201 1ST ST SE,Commercial,Commercial,Alteration,323540,HOLMES MURPHY INSURANCE,7-Jun-16,Linn
Cedar Rapids,2017 ROSEWOOD DR NW,Residential,Single Family,New,57560,,14-Jan-16,Linn
Cedar Rapids,2019 WYCLIFFE CT SW,Residential,Single Family,New,95924,,29-Jul-16,Linn
Cedar Rapids,2031 SUGAR CREEK DR NW,Residential,Single Family,New,56746,3 BED 1 BATH - LEFT,8-Mar-16,Linn
Cedar Rapids,2040 GLASS RD NE,Commercial,Commercial,Alteration,88700,,31-May-16,Linn
Cedar Rapids,2040 GLASS RD NE,Commercial,Commercial,Alteration,88700,,31-May-16,Linn
Cedar Rapids,2066 SUGAR CREEK DR NW,Residential,Single Family,New,57660,,20-Apr-16,Linn
Cedar Rapids,207 3RD AVE SW,Commercial,Commercial,Alteration,550000,MATTHEW 25 - PHASE 2,8-Mar-16,Linn
Cedar Rapids,210 5TH ST SW,Commercial,Commercial,Alteration,3703000,KINGSTON POINTE,30-Mar-16,Linn
